Zip Code,Count
91901,1
91902,16
91905,1
91910,57
91911,72
91913,37
91914,9
91915,24
91916,1
91932,11
91935,5
91941,14
91942,29
91945,15
91950,49
91963,1
91977,44
91978,6
92003,1
92004,1
92007,4
92008,9
92009,17
92010,13
92011,10
92014,15
92019,47
92020,64
92021,62
92024,30
92025,23
92026,10
92027,22
92028,9
92029,12
92037,34
92040,15
92054,10
92056,12
92057,12
92058,9
92061,2
92064,19
92065,11
92066,2
92067,12
92069,11
92071,19
92075,5
92078,17
92081,13
92082,3
92083,10
92084,14
92091,2
92093,4
92101,39
92102,24
92103,73
92104,42
92105,52
92106,9
92107,5
92108,23
92109,29
92110,20
92111,23
92113,49
92114,52
92115,37
92116,36
92117,23
92118,6
92119,12
92120,22
92121,3
92122,15
92123,18
92124,15
92126,35
92127,22
92128,33
92129,19
92130,24
92131,7
92136,3
92139,31
92154,77
92161,2
92173,32
Unknown,41
Total,1930
